[2025-08-21 23:30:58] === Real-Time IoT Vulnerability Scanner & Monitor ===
[2025-08-21 23:30:58] [*] Using network: 10.154.8.0/24
[2025-08-21 23:30:58] [*] Scan interval: 20s | Device re-scan: 300s
[2025-08-21 23:30:58] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:31:18] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:31:38] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:31:58] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:32:18] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:32:38] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:32:58] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:33:18] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:33:39] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:33:59] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:34:19] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:34:39] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:34:59] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:35:19] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:35:39] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:35:59] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:36:20] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:36:40] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:37:00] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:37:20] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:37:40] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:38:00] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:38:20] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:38:40] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:39:01] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:39:21] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:39:41] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:40:01] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:40:21] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:40:41] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:41:01] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:41:21] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:41:41] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:42:02] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:42:22] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:42:42] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:43:02] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:43:22] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:43:42] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:44:02] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:44:22] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:44:43] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:45:03] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:45:23] [LIVE] Devices currently connected (seen this round): 0
[2025-08-21 23:45:43] [LIVE] Devices currently connected (seen this round): 0
